BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_66,eth2_10,eth2_30,eth2_35,eth2_34,eth2_23,eth2_21,eth2_14,eth2_unk
440050405001,1013,556,388,69,0,0,495,274,134,13,28,69,495,258,134,16,8,16,0,2,5,0,0,69
440050405002,951,526,331,94,0,0,649,129,79,1,15,78,649,108,79,21,0,6,0,5,0,1,0,78
440050405003,490,257,183,50,0,0,381,27,20,5,6,51,381,27,20,0,1,1,0,0,2,2,0,51
440050406001,982,467,388,127,0,0,759,71,10,8,19,115,759,59,10,12,2,4,3,5,2,0,3,115
440050406002,381,175,163,43,0,0,306,22,12,3,3,35,306,18,12,4,3,2,0,1,0,0,0,35
440050406003,687,348,256,83,0,0,505,51,16,5,19,91,505,44,15,7,1,10,2,4,3,0,0,91
440050406004,706,386,246,74,0,0,518,36,78,7,8,59,518,31,78,5,3,2,0,4,1,0,2,59
440050407001,1036,454,441,141,0,0,856,41,0,3,23,113,856,29,0,12,1,2,2,9,0,0,0,113
440050407002,866,422,311,133,0,0,754,22,8,9,13,60,754,18,8,4,2,6,1,4,2,3,1,60
440050407003,706,336,269,101,0,0,540,53,15,7,15,76,540,51,14,2,1,6,1,4,2,0,1,76
440050408001,820,413,311,96,0,0,681,48,15,8,9,59,681,36,15,12,0,2,1,1,4,1,1,59
440050408002,409,201,147,61,0,0,326,11,2,4,11,55,326,6,2,5,0,1,0,5,1,0,0,55
440050408003,385,179,136,70,0,0,322,6,2,5,2,48,322,6,2,0,0,1,0,0,3,1,1,48
440050409001,949,392,402,155,0,0,798,47,0,5,9,90,798,40,0,7,1,1,1,3,0,1,3,90
440050409002,1468,660,571,237,0,0,1221,68,11,12,17,139,1221,49,11,19,3,6,3,5,3,3,1,139
440050410001,402,188,153,61,0,0,319,25,13,7,3,35,319,21,13,4,2,0,1,0,3,0,1,35
440050410002,770,341,306,123,0,0,630,53,0,6,14,67,630,44,0,9,4,3,2,4,0,0,0,67
440050411001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050411002,530,278,198,54,0,0,381,63,25,8,10,43,381,60,25,3,5,4,1,2,2,0,1,43
440050411003,510,245,183,82,0,0,427,12,1,4,17,49,427,8,1,4,0,2,5,6,4,0,0,49
440050412001,286,132,114,40,0,0,129,69,47,9,6,26,129,69,47,0,2,5,0,0,4,2,0,26
440050413001,1083,456,478,149,0,0,925,35,1,6,14,102,925,24,1,11,2,4,2,2,1,0,0,102
440050413002,666,281,283,102,0,0,528,31,0,2,15,90,528,22,0,9,0,6,2,2,0,1,0,90
440050413003,834,384,306,144,0,0,723,25,0,2,17,67,723,15,0,10,1,6,4,7,1,0,0,67
440050413004,1003,485,365,153,0,0,827,41,1,5,15,114,827,22,1,19,1,5,3,1,2,0,1,114
440050413005,1253,670,407,176,0,0,1036,56,2,10,23,126,1036,44,2,12,3,1,12,8,7,0,0,126
440050414001,935,384,389,162,0,0,797,43,0,6,13,76,797,31,0,12,2,3,9,0,0,4,0,76
440050414002,1236,402,584,250,0,0,1006,113,2,2,16,97,1006,59,2,54,0,4,6,1,0,0,0,97
440050414003,1044,358,486,200,0,0,832,76,0,7,9,120,832,40,0,36,2,3,0,6,4,0,0,120
440050416011,1192,456,524,212,0,0,784,226,9,11,11,151,784,143,9,83,8,7,0,2,3,0,0,151
440050416012,939,336,434,169,0,0,602,200,0,9,6,122,602,126,0,74,5,1,1,1,2,1,0,122
440050416021,964,349,415,200,0,0,770,73,0,12,25,84,770,46,0,27,2,17,1,3,4,0,0,84
440050416022,1396,505,646,245,0,0,977,184,1,16,43,175,977,114,1,70,4,11,7,6,0,0,1,175
440050416023,1264,451,550,263,0,0,884,209,0,8,8,155,884,135,0,74,1,3,2,3,1,1,0,155
440050417011,1379,475,664,240,0,0,954,208,0,11,25,181,954,91,0,117,3,9,7,2,1,7,0,181
440050417012,1334,544,558,232,0,0,869,244,1,12,16,192,869,150,1,94,1,6,0,2,4,0,0,192
440050417021,1616,484,837,295,0,0,1152,252,0,5,5,202,1152,145,0,107,0,1,2,2,0,0,1,202
440050417022,1583,554,765,264,0,0,1155,195,5,14,15,199,1155,103,5,92,6,7,3,2,2,4,1,199
440050417023,907,343,385,179,0,0,713,53,1,11,13,116,713,29,1,24,2,9,2,0,4,0,0,116
440059900000,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
440030201011,1856,676,874,306,0,0,1497,116,4,42,51,146,1497,101,4,15,25,21,15,4,2,2,2,146
440030201012,1134,371,547,216,0,0,858,111,5,20,28,112,858,89,5,22,2,13,7,3,6,3,4,112
440030201013,858,348,348,162,0,0,594,142,6,15,33,68,594,123,6,19,6,17,10,1,4,2,1,68
440030201014,1055,380,485,190,0,0,820,92,5,20,11,107,820,79,5,13,7,4,0,0,5,2,0,107
440030201021,1109,376,564,169,0,0,881,86,6,14,16,106,881,65,6,21,8,3,3,6,3,1,0,106
440030201022,752,284,357,111,0,0,562,87,8,5,17,73,562,79,8,8,3,6,3,2,1,0,1,73
440030201023,1407,507,688,212,0,0,1083,152,14,11,26,121,1083,127,14,25,4,8,5,9,1,0,2,121
440030202001,1111,438,485,188,0,0,822,135,8,20,20,106,822,115,7,20,7,10,2,3,6,2,2,106
440030202002,956,342,471,143,0,0,711,126,2,11,24,82,711,110,2,16,8,10,3,5,1,0,1,82
440030202003,1271,444,623,204,0,0,951,148,4,11,19,138,951,130,4,18,6,4,3,4,0,1,1,138
440030203001,517,186,244,87,0,0,365,75,2,4,11,60,365,67,2,8,1,4,0,4,1,0,0,60
440030203002,987,374,464,149,0,0,742,123,7,9,17,89,742,100,7,23,0,6,5,1,3,0,4,89
