BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_34,eth2_12,eth2_30,eth2_23,eth2_14,eth2_21,eth2_unk
160270219072,756,507,184,55,7,3,0,0,599,42,0,19,2,94,599,40,3,0,12,0,2,2,0,94
160270221001,641,438,171,23,4,5,0,0,555,32,0,10,1,43,555,31,6,0,1,0,0,1,0,43
160270221002,715,441,204,59,5,6,0,0,567,89,1,4,6,48,567,89,0,1,2,0,1,1,0,48
160270221003,1013,664,268,63,10,8,0,0,840,99,0,9,4,61,840,99,0,0,6,2,1,1,0,61
160270222001,944,641,229,67,5,2,0,0,748,88,0,12,6,90,748,88,0,3,10,1,0,1,1,90
160270222002,436,172,174,84,4,2,0,0,226,177,0,2,1,30,226,176,0,0,2,0,0,0,0,30
160270222003,1308,927,299,68,11,3,0,0,1085,96,0,12,12,103,1085,94,1,5,8,1,2,1,0,103
160270223011,827,601,178,44,3,1,0,0,692,38,0,3,5,89,692,38,1,2,0,1,0,0,0,89
160270223012,809,577,182,39,9,2,0,0,685,49,2,3,10,60,685,49,1,3,1,1,0,1,0,60
160270223021,727,509,162,46,9,1,0,0,572,59,0,8,8,80,572,58,0,2,5,1,0,3,0,80
160270223031,1254,843,308,90,12,1,0,0,1014,92,2,11,12,123,1014,91,2,10,3,0,2,3,0,123
160270224001,1669,1100,417,130,18,4,0,0,1367,99,1,12,18,172,1367,96,4,8,5,3,1,0,0,172
160270224002,1211,814,284,102,7,4,0,0,997,97,0,11,5,101,997,96,5,1,4,1,1,0,1,101
160439701001,1031,706,249,74,1,1,0,0,894,11,0,9,6,111,894,11,1,3,0,2,0,8,0,111
160439702001,489,392,78,16,3,0,0,0,395,15,0,5,5,69,395,15,2,0,1,0,1,1,0,69
160439702002,301,224,58,17,1,1,0,0,259,14,0,0,1,27,259,14,0,0,0,0,0,0,0,27
160439702003,404,330,53,18,2,1,0,0,350,19,0,2,1,32,350,19,1,0,0,0,0,0,1,32
160439702004,608,483,94,25,2,4,0,0,516,36,0,2,2,52,516,36,1,2,0,0,0,1,0,52
160439703011,297,224,53,19,0,1,0,0,250,13,0,9,1,24,250,13,1,0,4,0,0,4,0,24
160439703012,458,340,82,31,4,1,0,0,394,34,0,4,0,26,394,34,1,0,0,0,0,3,0,26
160439703013,627,545,57,19,0,6,0,0,564,12,0,10,2,39,564,12,1,0,0,1,1,8,0,39
160439703014,896,683,166,41,5,1,0,0,798,48,0,7,6,37,798,48,1,4,1,0,2,0,0,37
160439703021,619,487,90,37,3,2,0,0,545,20,0,10,7,37,545,20,1,0,5,0,0,4,0,37
160439703022,548,421,90,32,3,2,0,0,493,21,0,5,0,29,493,21,2,0,0,0,1,2,0,29
160439703023,696,592,86,13,2,3,0,0,637,16,0,9,2,32,637,16,1,0,5,0,0,2,1,32
160699400001,399,250,116,27,2,4,0,0,355,6,0,0,3,35,355,6,0,2,0,0,0,0,0,35
160699400002,408,233,134,36,3,2,0,0,362,8,0,2,2,34,362,8,1,0,0,2,0,0,1,34
160699400003,471,213,173,81,2,2,0,0,402,16,0,1,8,44,402,15,1,1,0,1,0,0,0,44
160699400004,492,179,193,117,3,0,0,0,390,19,8,5,9,61,390,18,3,0,0,1,1,0,1,61
160699400005,744,190,348,202,2,2,0,0,567,46,6,4,22,99,567,45,1,0,0,4,1,2,0,99
160699602001,238,159,62,14,2,1,0,0,201,7,0,0,1,29,201,7,0,0,0,0,0,0,0,29
160699603001,526,282,173,61,6,4,0,0,451,14,0,5,1,55,451,14,3,0,0,0,0,1,1,55
160699603002,892,482,306,95,5,4,0,0,761,13,0,7,6,105,761,12,3,5,0,0,4,0,0,105
160699603003,532,193,214,114,6,5,0,0,438,25,1,2,3,63,438,25,1,1,1,2,0,0,0,63
160699603004,369,157,149,58,3,2,0,0,317,9,1,3,3,36,317,9,2,2,0,0,1,0,0,36
160699604001,430,182,160,78,8,2,0,0,358,16,0,3,4,49,358,16,0,1,0,2,0,3,0,49
160699604002,556,217,238,90,8,3,0,0,476,7,0,7,6,60,476,5,3,2,0,0,1,2,0,60
160699604003,276,98,121,55,1,1,0,0,227,20,0,2,0,27,227,20,1,0,0,0,1,0,0,27
160699604004,401,148,168,79,3,3,0,0,354,7,0,3,1,36,354,7,0,1,0,0,2,0,0,36
160699605001,632,286,265,71,8,2,0,0,556,15,3,3,1,54,556,13,1,1,0,0,0,1,0,54
160699605002,829,384,311,125,7,2,0,0,729,16,0,11,3,70,729,16,3,0,3,1,0,0,1,70
160699605003,666,289,269,97,9,2,0,0,574,14,0,5,2,71,574,13,0,2,0,0,2,1,2,71
160699606001,846,402,326,110,5,3,0,0,719,30,0,7,6,84,719,30,2,0,0,0,2,0,3,84
160699606002,1043,499,350,190,3,1,0,0,914,22,1,5,8,93,914,22,1,3,0,0,3,0,1,93
160699606003,446,183,206,52,5,0,0,0,391,13,0,1,2,39,391,13,1,1,0,0,0,0,0,39
160699606004,502,235,204,54,6,3,0,0,443,15,0,9,3,32,443,15,8,0,0,1,0,0,0,32
160699607001,471,277,152,39,3,0,0,0,410,2,0,2,8,49,410,2,0,0,0,1,0,1,1,49
160699607002,1490,758,555,173,4,0,0,0,1260,43,0,16,11,160,1260,43,2,4,0,2,6,4,4,160
160699607003,374,170,151,47,6,0,0,0,320,20,0,0,2,32,320,18,0,2,0,0,0,0,0,32
160699607004,459,211,174,67,6,1,0,0,402,11,0,0,3,43,402,11,0,0,0,2,0,0,0,43
160699607005,456,206,189,56,3,2,0,0,392,8,0,4,4,48,392,6,0,0,2,1,0,0,2,48
160699608001,722,347,278,82,8,7,0,0,651,23,0,2,4,42,651,23,1,0,1,0,0,0,0,42
160699608002,890,494,329,60,4,3,0,0,787,11,1,6,3,82,787,10,3,2,0,0,1,2,0,82
160699608003,733,367,283,74,6,3,0,0,639,19,0,11,5,59,639,19,3,4,0,0,3,4,1,59
160699609001,531,276,192,56,7,0,0,0,478,10,0,4,3,36,478,10,3,2,0,0,0,1,0,36
160699609002,704,353,236,108,4,3,0,0,609,15,2,2,4,72,609,15,1,2,1,1,0,0,0,72
160699609003,431,222,155,50,3,1,0,0,376,14,2,1,1,37,376,14,0,1,1,0,0,0,0,37
160699610001,1087,561,416,98,6,6,0,0,981,13,0,10,4,79,981,13,6,1,1,0,1,1,1,79
160699610002,731,378,263,80,7,3,0,0,671,8,0,1,3,48,671,7,0,2,1,1,0,0,0,48
160699610003,724,357,269,89,5,4,0,0,641,11,0,2,0,70,641,11,0,0,0,0,0,0,0,70
