BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk
290910906004,799,440,73,286,0,0,733,7,1,4,5,49,733,1,5,0,2,0,1,0,2,0,0,3,0,0,0,0,0,2,0,1,49
290910907001,431,190,59,182,0,0,394,10,1,1,1,24,394,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24
290910907002,788,322,87,379,0,0,701,18,0,7,6,56,701,0,17,3,3,1,0,2,1,1,0,1,0,0,0,0,0,1,0,1,56
290910907003,479,161,78,240,0,0,420,14,1,2,1,41,420,1,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,41
290910907004,421,106,80,235,0,0,365,6,0,1,4,45,365,0,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45
290910907005,363,108,42,213,0,0,329,6,1,2,4,21,329,1,6,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,21
290910907006,433,116,69,248,0,0,381,13,2,1,2,34,381,2,13,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,34
290910908011,1417,809,153,455,0,0,1265,24,8,15,9,96,1265,8,23,3,5,1,3,5,2,0,1,0,0,0,0,0,0,1,0,1,96
290910908012,483,139,80,264,0,0,428,19,1,2,3,30,428,1,17,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,30
290910908013,465,210,53,202,0,0,417,8,0,3,1,36,417,0,8,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,36
290910908021,1020,544,115,361,0,0,930,14,0,5,6,65,930,0,13,4,2,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,65
290910908022,973,491,118,364,0,0,868,14,2,5,9,75,868,2,14,1,3,0,3,0,1,2,1,0,1,0,0,1,1,0,0,0,75
290119601001,897,593,115,189,0,0,823,6,0,2,4,62,823,0,6,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,62
290119601002,467,260,77,130,0,0,422,4,0,0,7,34,422,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34
290119601003,492,218,73,201,0,0,425,10,0,1,2,54,425,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,54
290119602001,468,313,56,99,0,0,430,5,1,1,1,30,430,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
290119602002,787,519,95,173,0,0,715,13,0,0,1,58,715,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,58
290119602003,533,253,66,214,0,0,494,10,0,1,3,25,494,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25
290119602004,897,540,118,239,0,0,835,18,0,2,2,40,835,0,18,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
290119603001,682,287,156,239,0,0,598,22,2,3,5,52,598,2,22,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,52
290119603002,791,446,125,220,0,0,709,13,11,0,8,50,709,11,13,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,50
290119603003,927,545,124,258,0,0,832,21,0,7,7,60,832,0,21,3,1,2,1,3,0,0,1,2,0,0,0,0,1,0,0,0,60
290119603004,495,243,82,170,0,0,452,7,0,0,6,30,452,0,7,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,30
290119603005,391,128,100,163,0,0,346,8,0,2,0,35,346,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35
292254701011,1773,1109,205,459,0,0,1606,34,2,3,3,125,1606,2,33,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,125
292254701012,967,574,114,279,0,0,867,20,7,4,8,61,867,7,20,2,2,1,0,0,1,0,0,2,0,2,2,0,0,0,0,0,61
292254701013,681,441,68,172,0,0,601,14,0,0,4,62,601,0,14,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,62
292254701021,943,542,122,279,0,0,859,8,1,1,0,74,859,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74
292254701022,1633,1090,141,402,0,0,1520,8,0,6,7,92,1520,0,8,0,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,92
292254701023,1447,892,154,401,0,0,1327,11,0,5,2,102,1327,0,11,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,102
292254702011,1724,1157,179,388,0,0,1556,30,0,14,5,119,1556,0,29,0,4,2,2,0,5,0,3,0,1,0,0,1,0,1,0,0,119
292254702012,969,397,150,422,0,0,875,17,0,5,5,67,875,0,17,1,2,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,67
292254702013,905,370,134,401,0,0,806,13,1,3,6,76,806,1,13,1,0,0,2,1,2,1,0,0,1,0,0,0,1,0,0,0,76
292254702021,1226,478,217,531,0,0,1082,32,2,1,11,98,1082,2,32,3,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,98
292254702022,755,485,75,195,0,0,685,8,0,3,7,52,685,0,8,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,52
292254702023,1187,583,145,459,0,0,1056,24,1,7,3,96,1056,1,23,1,1,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,96
292254703011,554,367,50,137,0,0,506,8,0,3,8,29,506,0,8,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,29
292254703012,910,583,102,225,0,0,814,17,2,2,1,74,814,2,15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,74
292254703013,656,316,89,251,0,0,568,19,0,3,6,60,568,0,19,1,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,60
292254703014,1508,885,174,449,0,0,1318,37,1,9,26,117,1318,1,35,1,3,2,20,0,4,1,0,1,0,0,0,0,2,2,0,0,117
292254703021,1140,676,131,333,0,0,1021,22,0,2,2,93,1021,0,21,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,93
292254703022,905,548,92,265,0,0,821,14,0,4,1,65,821,0,12,0,1,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,65
292254703023,684,479,83,122,0,0,607,5,1,0,8,63,607,1,5,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,63
292254704011,947,546,126,275,0,0,820,14,1,6,7,99,820,1,13,1,0,2,0,0,0,1,4,0,4,0,0,0,0,1,0,0,99
292254704012,754,387,87,280,0,0,668,11,0,7,4,64,668,0,11,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,64
292254704013,396,178,57,161,0,0,353,8,0,6,4,25,353,0,8,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,2,0,25
292254704021,805,431,78,296,0,0,726,9,0,4,7,59,726,0,9,1,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,59
292254704022,860,539,79,242,0,0,787,6,3,2,0,62,787,3,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62
290318801001,1029,707,104,218,0,0,882,15,1,3,2,126,882,1,15,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126
290318801002,821,534,90,197,0,0,735,4,0,4,4,74,735,0,4,1,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,74
290318801003,666,485,56,125,0,0,569,3,0,1,2,91,569,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,91
290318801004,970,691,72,207,0,0,852,6,0,2,4,106,852,0,6,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,106
290318801005,725,509,75,141,0,0,649,9,0,2,2,63,649,0,8,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,63
290318802001,1242,829,113,300,0,0,1130,7,1,6,6,92,1130,1,7,2,5,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,92
290318802002,1295,945,132,218,0,0,1151,6,7,3,10,118,1151,7,6,1,2,0,4,1,0,2,0,1,0,1,0,0,0,0,0,0,118
290318802003,663,445,69,149,0,0,566,8,1,4,8,76,566,1,8,0,1,0,2,3,0,3,0,0,0,3,0,0,0,0,0,0,76
