BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_21,eth2_23,eth2_81,eth2_14,eth2_34,eth2_12,eth2_32,eth2_unk
400399604023,821,417,263,132,9,0,0,633,98,6,15,13,56,633,97,6,2,0,5,8,6,0,4,0,0,56
400399606001,745,443,142,157,3,0,0,607,52,1,7,7,71,607,52,1,3,1,1,1,6,0,0,2,0,71
400399606002,440,204,127,105,4,0,0,330,36,4,7,7,56,330,36,3,2,0,2,1,2,1,2,1,0,56
400399606003,623,342,150,121,10,0,0,502,52,4,5,10,50,502,52,4,4,2,0,0,7,0,0,1,0,50
400399606004,608,286,165,147,10,0,0,475,48,17,10,6,52,475,48,17,4,2,2,2,2,0,1,1,0,52
400399607011,1127,715,275,129,8,0,0,958,54,0,7,13,95,958,54,0,3,3,2,0,3,0,3,1,0,95
400399607012,703,459,154,80,10,0,0,601,30,2,11,7,52,601,30,2,4,0,5,0,4,0,2,0,0,52
400399607013,888,500,247,131,10,0,0,708,55,6,7,9,103,708,55,6,2,3,3,0,2,2,2,0,0,103
400399607014,337,175,85,72,5,0,0,273,31,1,2,3,27,273,31,1,0,0,0,2,1,0,0,0,0,27
400399607015,646,428,132,84,2,0,0,555,33,1,8,9,40,555,33,1,2,2,1,4,2,1,4,0,0,40
400399607021,447,286,108,49,4,0,0,386,28,0,2,1,30,386,28,0,0,0,0,0,0,0,0,2,0,30
400399607022,867,621,143,98,5,0,0,734,44,4,6,18,61,734,44,4,0,3,0,4,6,1,3,1,0,61
400399610001,485,339,105,41,0,0,0,422,20,2,1,2,38,422,20,2,1,0,0,0,1,0,0,0,0,38
400399610002,627,413,146,63,5,0,0,556,22,0,5,5,39,556,22,0,3,2,0,1,0,0,0,1,0,39
