BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_21,eth2_30,eth2_10,eth2_23,eth2_34,eth2_14,eth2_85,eth2_66,eth2_199,eth2_12,eth2_61,eth2_unk
220790137001,419,74,210,133,1,1,0,0,357,9,20,0,3,30,357,20,9,0,1,0,2,0,0,0,0,0,0,0,0,0,30
220790137002,1004,234,427,337,4,2,0,0,760,27,145,2,9,61,760,144,27,1,4,0,3,2,0,1,0,0,0,0,0,1,61
220790137003,1005,215,531,254,5,0,0,0,822,40,44,3,6,90,822,44,40,0,0,1,2,1,0,0,0,3,0,0,1,0,90
220790138001,368,181,104,81,2,0,0,0,178,13,154,5,4,14,178,147,13,7,1,0,1,1,1,0,1,0,0,0,2,1,14
220790138002,415,128,158,126,3,0,0,0,229,7,131,3,11,34,229,127,7,4,4,1,4,1,1,0,0,0,0,0,0,0,34
220790138003,1249,572,338,335,2,2,0,0,622,28,526,13,19,41,622,517,28,9,5,2,9,1,10,1,0,0,0,0,0,2,41
220790139001,556,317,85,154,0,0,0,0,129,11,386,2,4,24,129,385,11,1,4,1,0,0,0,0,1,0,0,0,0,0,24
220790139002,594,420,23,150,1,0,0,0,22,3,563,0,2,4,22,550,3,13,1,0,0,0,0,0,0,0,0,0,0,0,4
220790139003,366,258,26,81,1,0,0,0,30,1,326,0,2,7,30,321,1,5,1,0,0,0,0,0,0,0,0,0,0,0,7
220799800001,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
