BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk
240338005222,1835,1556,58,208,3,2,0,0,0,8,0,108,42,1621,18,13,33,108,1619,41,5,8,8,1,0,0,1,2,4,0,0,0,1,0,0,2,0,0,0,0,0,33
240338006051,1097,803,130,143,11,3,1,0,1,5,0,287,49,683,5,24,49,287,681,49,0,10,3,0,6,2,0,0,1,0,2,1,0,0,1,2,0,0,0,0,0,49
240338006052,1247,1066,27,140,4,2,0,1,0,7,0,49,31,1113,10,8,36,49,1111,31,6,6,3,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,36
240338006053,1106,957,33,101,7,1,1,0,0,6,0,85,50,904,15,6,46,85,901,50,6,4,6,1,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,46
240338006061,998,836,32,109,11,1,0,0,0,9,0,109,24,813,10,9,33,109,812,24,4,7,2,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,33
240338006062,1572,1343,56,157,10,0,1,0,0,5,0,127,50,1338,9,17,31,127,1334,50,3,6,2,2,6,0,1,1,2,0,0,0,0,0,0,4,0,0,0,0,1,31
240338006063,969,826,18,107,14,0,1,0,0,3,0,70,39,832,5,6,17,70,832,39,1,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
240338006071,2489,2139,80,231,23,0,1,1,0,14,0,123,103,2157,33,20,53,123,2153,103,7,10,11,3,4,5,1,4,3,0,0,0,0,0,0,4,0,0,3,1,0,53
240338006072,937,731,71,117,12,3,0,0,0,3,0,153,44,677,19,13,31,153,677,42,0,8,11,3,3,1,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,31
240338006073,1613,1369,31,195,10,4,0,0,0,4,0,42,37,1453,26,22,33,42,1449,36,4,13,9,3,1,1,4,6,0,0,1,0,1,2,1,4,0,1,2,0,0,33
240338006081,1572,1347,51,156,8,4,0,1,0,5,0,83,37,1380,24,14,34,83,1378,37,9,11,12,0,0,0,0,1,1,2,0,0,0,0,0,2,0,2,0,0,0,34
240338006082,4193,3492,125,546,6,4,1,0,0,19,0,522,149,3217,79,38,188,522,3199,147,17,19,37,6,3,6,2,9,4,1,0,0,2,6,1,18,0,1,2,0,0,188
