BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_con,party_ain,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_35,eth2_14,eth2_12,eth2_55,eth2_13,eth2_32,eth2_61,eth2_85,eth2_29,eth2_33,eth2_38,eth2_15,eth2_57,eth2_19,eth2_26,eth2_59,eth2_unk
250235241023,821,510,157,140,4,0,2,1,0,7,0,686,42,1,9,9,74,686,28,1,5,4,14,0,2,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,74
250235251011,1445,953,288,174,7,1,0,2,0,20,0,1185,61,11,13,35,140,1185,40,10,5,10,21,7,10,0,10,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,140
250235251012,2021,1278,449,259,12,3,2,5,1,12,0,1610,131,35,26,26,193,1610,97,34,3,18,34,15,1,6,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,193
250235251013,1576,957,428,165,9,1,4,1,0,11,0,1209,130,27,25,27,158,1209,97,27,15,14,33,4,2,3,4,1,2,2,0,2,0,1,1,1,0,0,0,0,0,0,158
250235251041,1651,1066,356,204,5,1,1,1,0,17,0,1353,90,21,14,25,148,1353,55,21,3,9,35,3,7,3,2,1,3,5,0,0,0,0,0,0,0,0,2,0,0,0,148
250235251042,905,578,211,100,3,0,1,5,0,7,0,778,35,5,4,11,72,778,25,5,3,7,10,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,72
250235251043,1709,1122,321,237,8,1,1,2,1,16,0,1407,84,6,16,37,159,1407,56,6,6,20,28,4,2,0,3,1,5,2,0,0,4,2,2,0,0,0,1,0,0,0,159
250235251044,1078,669,303,86,8,0,1,2,0,9,0,840,65,30,24,28,91,840,53,30,9,18,12,9,1,2,2,2,2,1,0,1,2,1,1,1,0,0,0,0,0,0,91
250235252041,1458,910,311,214,6,1,1,1,0,14,0,1174,93,24,19,13,135,1174,67,24,4,5,26,9,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,135
250235252042,1424,916,285,195,12,0,0,0,0,16,0,1191,87,6,8,21,111,1191,66,6,4,9,21,2,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,111
250235261001,1221,841,210,155,6,3,0,0,0,6,0,1071,37,0,6,10,97,1071,24,0,1,0,13,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,97
250235261002,563,376,96,78,5,1,1,0,0,6,0,483,25,2,3,9,41,483,19,2,1,3,6,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,41
250235261003,1387,935,246,175,9,0,3,0,0,19,0,1219,42,1,6,15,104,1219,37,1,3,9,5,1,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104
250235261004,1152,755,214,164,5,1,0,0,0,13,0,1019,32,3,6,12,80,1019,26,3,2,3,6,2,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4,80
250235261005,1399,947,227,210,4,0,2,1,0,8,0,1201,44,3,7,14,130,1201,35,3,3,7,9,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
250235301001,1306,810,275,203,5,0,0,0,0,13,0,1125,40,5,20,10,106,1125,26,5,4,3,14,4,2,7,1,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,106
250235301002,1497,896,384,193,6,1,3,1,0,13,0,1196,102,15,12,23,149,1196,83,15,3,12,19,6,3,2,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,149
250235302001,913,592,199,103,7,0,0,0,0,12,0,721,72,5,15,16,84,721,44,5,5,6,28,1,5,7,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,84
250235302002,1305,814,349,115,4,0,3,2,0,18,0,1071,79,9,10,14,122,1071,57,9,2,5,22,0,6,2,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,122
250235303001,689,410,168,98,8,1,0,0,0,4,0,604,19,2,0,5,59,604,11,2,0,3,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
250235303002,942,605,228,90,7,1,1,1,0,9,0,810,27,4,8,13,80,810,20,4,3,7,7,4,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,80
