BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
130630402031,598,573,18,7,0,0,18,3,572,0,1,4,18,523,3,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
130630402032,398,372,23,3,0,0,12,8,368,3,1,6,12,332,8,36,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
130630402033,1187,1130,45,12,0,0,31,16,1122,2,7,9,31,1003,16,119,0,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
130630402034,584,541,35,8,0,0,25,10,533,8,4,4,25,485,9,48,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,4
130630402041,1151,1080,60,11,0,0,38,18,1069,12,3,11,38,962,18,107,4,1,0,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
130630402042,587,527,46,14,0,0,30,17,526,3,6,5,30,470,17,56,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
130630402043,860,804,42,14,0,0,27,23,793,3,5,9,27,699,23,94,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9
130630402044,821,775,38,8,0,0,17,16,776,0,3,9,17,674,16,102,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
130630403021,589,457,96,36,0,0,82,57,441,0,0,9,82,407,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
130630403022,657,358,229,70,0,0,154,125,304,57,4,13,154,282,125,22,3,12,2,34,4,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,13
130630403023,863,670,150,43,0,0,116,59,645,28,5,10,116,595,59,50,4,3,0,18,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10
130630403024,691,457,201,33,0,0,115,124,411,24,7,10,115,384,124,27,1,1,1,17,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,10
130630403061,642,555,81,6,0,0,40,34,551,4,4,9,40,500,34,51,2,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
130630403062,385,313,65,7,0,0,32,36,293,15,3,6,32,266,36,27,1,1,2,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6
130630403063,432,343,82,7,0,0,39,52,331,5,3,2,39,310,52,21,0,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130630403071,1036,527,402,107,0,0,236,170,439,156,14,21,236,403,170,36,3,27,9,117,5,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,21
130630403072,799,418,310,71,0,0,114,103,347,202,9,24,114,312,103,35,8,29,3,142,10,2,1,1,0,0,0,2,0,0,5,0,0,4,0,0,4,0,24
130630403073,716,385,259,72,0,0,175,103,330,90,4,14,175,306,103,24,0,15,2,64,4,2,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,14
130630403081,259,188,66,5,0,0,52,24,171,7,2,3,52,160,22,11,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3
