BlockGroupID,total_reg,party_dem,party_rep,party_rin,party_lib,party_grn,party_cnt,party_slb,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_21,eth2_14,eth2_34,eth2_61,eth2_12,eth2_32,eth2_38,eth2_unk
211779602023,869,540,287,16,3,1,0,0,0,22,0,747,9,73,4,0,36,747,72,9,0,0,1,3,0,0,0,0,0,0,36
211779603001,1064,625,399,12,3,0,0,0,0,25,0,968,12,3,0,1,80,968,3,12,0,0,0,0,0,0,0,0,0,0,80
211779603002,512,308,184,7,2,0,0,0,0,11,0,475,4,0,0,0,33,475,0,4,0,0,0,0,0,0,0,0,0,0,33
211779603003,985,605,331,22,2,0,0,0,0,25,0,938,4,0,6,3,34,938,0,4,1,2,0,2,2,0,0,0,0,0,34
211779604001,908,598,248,18,1,0,0,0,0,43,0,555,42,265,1,3,42,555,265,41,2,0,0,1,0,0,0,0,0,0,42
211779604002,491,316,148,13,0,0,0,0,0,14,0,456,5,1,3,2,24,456,1,5,1,2,0,0,1,1,0,0,0,0,24
211779604003,934,562,310,19,2,0,0,0,0,41,0,871,7,2,7,5,42,871,2,7,4,1,1,1,3,0,0,0,0,0,42
211779604004,725,444,245,12,1,0,0,0,0,23,0,690,4,0,4,1,26,690,0,4,1,1,1,0,2,0,0,0,0,0,26
211779604005,875,544,285,16,2,0,0,0,0,28,0,822,5,1,7,1,39,822,1,5,0,1,3,3,0,0,0,0,0,0,39
211779605001,985,576,352,29,2,0,1,0,0,25,0,899,9,12,2,13,50,899,12,9,1,0,1,1,0,7,0,0,1,0,50
211779605002,594,345,204,19,2,0,0,0,0,24,0,542,10,6,3,2,31,542,6,10,0,1,2,0,0,1,0,0,0,0,31
211779605003,884,565,236,18,1,0,0,1,0,63,0,700,11,137,4,6,26,700,137,11,3,0,1,1,0,0,0,1,0,1,26
211779606001,684,379,278,11,1,0,0,0,0,15,0,636,4,1,2,3,38,636,1,3,1,0,1,0,1,2,0,0,0,0,38
211779606002,555,329,202,6,1,0,0,0,0,17,0,511,6,11,2,2,23,511,11,6,0,2,0,0,0,1,1,0,0,0,23
211779606003,968,583,320,23,5,0,0,0,0,37,0,867,15,22,6,3,55,867,22,15,1,2,0,1,2,2,0,1,0,0,55
211779607001,475,268,177,11,2,0,0,0,0,17,0,436,7,6,0,3,23,436,6,7,0,0,0,0,0,0,0,0,0,0,23
