BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_23,eth2_10,eth2_30,eth2_21,eth2_34,eth2_14,eth2_12,eth2_35,eth2_32,eth2_61,eth2_66,eth2_55,eth2_29,eth2_85,eth2_15,eth2_33,eth2_38,eth2_26,eth2_59,eth2_19,eth2_unk
371759602021,694,320,283,83,6,1,1,0,0,439,21,186,2,5,41,439,169,21,17,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41
371759602022,1122,350,474,293,5,0,0,0,0,947,29,47,6,7,86,947,44,28,3,1,0,1,1,1,2,2,2,0,0,0,1,0,0,3,0,0,0,0,0,0,86
371759603011,376,91,162,118,5,0,0,0,0,330,17,12,1,1,15,330,12,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
371759603012,993,275,415,296,6,1,0,0,0,853,24,37,10,4,65,853,36,23,1,0,1,2,1,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,65
371759603013,977,303,463,205,4,0,2,0,0,833,20,27,9,16,72,833,26,20,1,2,0,2,8,3,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,72
371759603021,733,249,324,155,5,0,0,0,0,641,13,25,8,3,43,641,23,13,2,0,1,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,43
371759603022,401,130,193,75,2,0,1,0,0,344,13,16,4,1,23,344,15,13,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
371759603023,1068,237,495,328,7,0,1,0,0,944,29,17,12,2,64,944,16,28,1,0,1,3,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,2,0,1,64
371759603024,939,229,383,323,4,0,0,0,0,856,16,7,0,7,53,856,7,16,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
371759604011,1640,315,666,643,13,0,3,0,0,1486,35,8,10,16,85,1486,8,35,0,1,2,4,5,1,4,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,85
371759604012,777,175,351,248,3,0,0,0,0,683,13,4,5,10,62,683,4,11,0,0,2,2,4,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,62
