BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_34,eth2_23,eth2_15,eth2_14,eth2_12,eth2_61,eth2_55,eth2_38,eth2_35,eth2_59,eth2_81,eth2_32,eth2_85,eth2_33,eth2_19,eth2_29,eth2_13,eth2_18,eth2_66,eth2_unk
271390802091,470,266,48,156,0,0,339,18,2,15,26,70,339,18,2,16,4,8,8,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,70
271390802092,621,314,44,263,0,0,435,19,6,68,22,71,435,18,6,10,18,26,9,3,2,6,0,2,0,0,0,0,0,1,0,0,4,0,8,0,1,71
271390802093,1024,425,98,501,0,0,703,28,15,78,37,163,703,28,15,19,24,24,8,16,5,4,0,0,1,1,2,1,0,1,4,0,1,0,3,0,0,163
271390802094,935,517,95,323,0,0,719,24,4,35,23,130,719,23,4,7,7,8,8,1,5,7,0,1,0,2,0,0,0,0,3,0,0,0,5,0,1,130
271390803031,622,167,115,340,0,0,407,58,28,27,45,57,407,57,28,36,6,8,4,3,3,3,1,0,0,1,0,2,1,0,0,1,0,0,3,0,1,57
271390803032,1464,707,174,583,0,0,1083,84,11,33,49,204,1083,84,11,25,10,10,16,4,2,1,0,3,0,1,0,0,0,0,3,0,2,1,3,1,0,204
271390803033,931,301,142,488,0,0,661,51,22,38,43,116,661,51,22,21,10,10,13,10,1,5,0,0,3,0,1,0,1,0,1,0,0,1,2,0,0,116
271390803041,826,557,78,191,0,0,556,17,16,69,41,127,556,15,16,18,23,29,16,7,1,3,0,0,2,3,0,0,0,1,1,0,2,0,1,0,2,127
271390803042,561,225,57,279,0,0,323,20,22,46,57,93,323,20,22,30,9,18,21,7,2,4,3,0,0,0,0,1,0,1,2,0,0,1,2,0,0,93
271390803043,560,220,71,269,0,0,313,26,22,51,75,73,313,23,21,46,14,14,17,9,4,1,3,2,2,0,1,0,0,0,0,3,4,1,2,0,3,73
271390803044,1000,638,77,285,0,0,536,34,15,226,61,128,536,33,13,30,43,47,10,116,0,6,1,3,2,5,0,1,1,2,0,1,2,6,5,0,1,128
271390803045,6,5,0,1,0,0,4,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
271390803046,1042,508,93,441,0,0,590,33,10,202,62,145,590,32,10,37,40,59,16,60,13,5,4,0,5,1,0,0,0,3,0,0,4,0,16,1,1,145
271390803051,1114,758,117,239,0,0,877,26,3,45,23,140,877,24,3,6,14,10,10,8,1,0,1,1,0,2,1,0,0,0,0,3,0,0,10,0,2,140
271390803052,820,362,113,345,0,0,547,46,14,30,71,112,547,46,14,55,12,8,10,1,2,2,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,112
271390803053,641,196,75,370,0,0,379,30,18,83,30,101,379,30,18,11,34,28,11,1,6,3,4,1,2,0,4,0,0,0,0,1,3,0,3,1,0,101
271390803054,1153,716,94,343,0,0,794,44,5,69,55,186,794,44,5,12,20,25,30,5,7,5,1,1,3,6,0,0,2,0,1,0,2,0,4,0,0,186
271390803055,542,263,61,218,0,0,346,27,14,40,24,91,346,27,14,10,9,8,7,4,5,2,2,0,0,1,2,0,0,1,3,0,4,0,5,0,0,91
271390803061,1259,890,73,296,0,0,861,43,4,141,41,169,861,41,4,19,31,42,10,44,1,6,7,2,3,0,0,0,0,1,0,4,0,0,7,0,2,169
271390803062,480,275,41,164,0,0,296,17,4,45,26,92,296,17,4,12,21,11,9,0,3,4,0,1,1,2,0,0,0,0,0,0,2,1,3,1,0,92
