BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_66,eth2_93,eth2_35,eth2_21,eth2_14,eth2_12,eth2_unk
330151064003,799,270,363,166,0,0,681,11,0,16,11,80,681,11,4,1,8,2,0,0,0,4,0,1,80
330151071001,823,298,395,130,0,0,624,37,16,27,38,81,624,37,21,4,11,5,0,16,1,7,5,0,81
330151071002,432,140,194,98,0,0,377,11,0,10,4,30,377,6,2,3,3,0,5,0,1,0,2,1,30
330151071003,489,181,232,76,0,0,391,27,5,3,7,56,391,27,0,1,2,3,0,5,2,0,0,0,56
330151072001,906,321,426,159,0,0,763,31,5,15,9,83,763,26,2,7,1,3,5,5,0,1,2,3,83
330151072002,847,309,357,181,0,0,683,25,4,42,11,82,683,24,7,16,7,2,1,4,2,14,3,2,82
330151072003,844,263,380,201,0,0,698,21,9,10,7,99,698,21,0,1,0,3,0,9,0,2,2,5,99
330151072004,553,205,234,114,0,0,476,14,4,4,7,48,476,13,2,2,2,1,1,4,2,0,0,0,48
330151072005,1159,412,451,296,0,0,914,39,4,34,30,138,914,39,8,10,9,4,0,4,6,7,2,4,138
330151074001,743,235,362,146,0,0,632,8,0,18,11,74,632,8,3,3,10,4,0,0,2,0,2,3,74
330151074002,489,152,215,122,0,0,409,16,0,13,3,48,409,16,2,2,0,0,0,0,0,3,0,3,48
330151075001,719,250,214,255,0,0,628,6,1,13,9,62,628,5,5,8,2,1,1,1,0,1,2,0,62
330151075002,1885,706,608,571,0,0,1601,35,0,21,38,190,1601,29,17,8,6,7,6,0,6,4,1,0,190
330151075003,1392,480,484,428,0,0,1200,26,1,29,20,116,1200,25,5,12,10,4,1,1,5,1,6,0,116
330159800111,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
330159900000,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
330079501001,319,147,45,127,0,0,294,1,0,0,1,23,294,1,1,0,0,0,0,0,0,0,0,0,23
330079501002,522,217,71,234,0,0,474,2,0,3,2,41,474,2,0,2,1,1,0,0,1,0,0,0,41
330079501003,474,216,80,178,0,0,419,4,0,2,8,41,419,4,0,0,0,2,0,0,1,1,1,0,41
330079502001,962,405,188,369,0,0,844,8,0,7,8,95,844,8,8,2,0,0,0,0,0,3,0,2,95
330079502002,494,228,91,175,0,0,449,3,0,4,2,36,449,3,2,1,0,0,0,0,0,1,0,2,36
330079502003,402,202,72,128,0,0,363,2,1,2,6,28,363,2,2,2,0,0,0,1,2,0,0,0,28
330079503001,458,208,73,177,0,0,425,2,3,2,1,25,425,2,1,0,1,0,0,3,0,1,0,0,25
330079503002,968,342,291,335,0,0,895,12,2,7,7,45,895,11,3,3,2,1,1,2,1,2,0,0,45
330079504001,594,260,157,177,0,0,535,16,0,0,7,36,535,14,5,0,0,0,2,0,0,0,0,0,36
330079504002,440,193,121,126,0,0,404,2,0,1,1,32,404,2,1,0,0,0,0,0,0,1,0,0,32
330079504003,307,150,65,92,0,0,279,4,0,2,2,20,279,4,0,2,0,2,0,0,0,0,0,0,20
330079504004,424,206,101,117,0,0,393,4,0,0,1,26,393,4,0,0,0,0,0,0,1,0,0,0,26
330079504005,313,144,71,98,0,0,285,2,0,0,1,25,285,2,0,0,0,0,0,0,0,0,0,0,25
330079505001,624,248,170,206,0,0,556,10,0,4,4,50,556,10,1,1,3,0,0,0,0,0,0,0,50
330079505002,704,268,212,224,0,0,646,8,0,6,9,35,646,8,2,2,1,1,0,0,3,1,0,2,35
330079505003,701,225,191,285,0,0,623,13,1,1,6,57,623,13,4,1,0,0,0,1,2,0,0,0,57
330079506001,542,186,235,121,0,0,504,5,0,3,4,26,504,5,0,1,1,3,0,0,0,1,0,0,26
330079506002,555,219,226,110,0,0,521,4,2,3,1,24,521,4,1,0,0,0,0,2,0,3,0,0,24
330079506003,381,160,145,76,0,0,338,10,0,1,3,29,338,10,0,0,0,0,0,0,0,1,0,0,29
330079506004,348,135,145,68,0,0,315,3,0,5,5,20,315,3,1,0,1,2,0,0,0,4,0,0,20
330079507001,447,126,195,126,0,0,413,3,0,6,8,17,413,3,1,3,0,7,0,0,0,2,0,0,17
330079507002,335,122,132,81,0,0,310,4,1,2,0,18,310,1,0,1,0,0,3,1,0,0,1,0,18
330079507003,495,202,181,112,0,0,447,6,0,0,2,40,447,5,0,0,0,1,1,0,1,0,0,0,40
330079507004,745,246,290,209,0,0,643,20,1,3,11,67,643,19,1,0,0,9,1,1,0,2,1,0,67
330079508001,362,144,128,90,0,0,307,5,0,3,0,47,307,5,0,1,1,0,0,0,0,0,1,0,47
330079508002,550,194,208,148,0,0,499,11,1,3,5,31,499,9,0,0,0,4,2,1,0,1,0,1,31
330079508003,357,144,130,83,0,0,323,2,0,3,3,26,323,2,0,0,0,2,0,0,1,2,1,0,26
330079509001,621,240,191,190,0,0,558,13,0,4,5,41,558,12,2,2,0,1,1,0,2,2,0,0,41
330079509002,485,140,194,151,0,0,438,8,0,1,1,37,438,7,0,1,0,1,1,0,0,0,0,0,37
330079509003,692,246,259,187,0,0,623,8,0,1,3,57,623,7,0,0,0,3,1,0,0,1,0,0,57
330079509004,621,226,250,145,0,0,549,10,0,7,10,45,549,10,4,1,1,4,0,0,0,2,2,1,45
330079510001,733,379,118,236,0,0,629,22,0,5,12,65,629,13,2,0,0,6,9,0,3,1,1,3,65
330079510002,749,263,263,223,0,0,664,5,0,6,5,69,664,5,2,2,2,2,0,0,0,1,1,0,69
330079511001,881,343,269,269,0,0,782,14,0,5,7,73,782,10,2,3,0,2,4,0,2,1,1,0,73
330079511002,825,339,233,253,0,0,725,18,4,9,5,64,725,18,0,3,0,3,0,4,2,3,1,2,64
330079511003,625,296,114,215,0,0,562,2,0,3,3,55,562,2,0,1,1,2,0,0,0,0,0,1,55
330110001031,1392,513,499,380,0,0,1138,78,6,12,45,113,1138,71,23,4,2,7,7,6,2,1,3,1,113
330110001032,1710,619,598,493,0,0,1405,47,8,25,33,192,1405,47,21,4,13,5,0,8,0,6,1,0,192
330110001041,590,208,211,171,0,0,483,22,0,10,17,58,483,22,7,6,1,2,0,0,5,3,0,0,58
330110001042,1593,598,568,427,0,0,1311,51,3,25,35,168,1311,49,8,13,5,10,2,3,4,3,1,3,168
330110002021,1179,464,354,361,0,0,945,73,7,20,24,110,945,70,15,8,4,3,3,7,0,1,5,0,110
330110002022,404,158,149,97,0,0,321,24,2,14,6,37,321,24,4,5,7,0,0,2,0,1,0,0,37
330110002031,874,333,258,283,0,0,741,46,2,5,12,68,741,45,7,2,0,1,1,2,1,1,1,1,68
330110002032,1002,439,295,268,0,0,817,41,2,7,27,108,817,41,13,1,3,2,0,2,2,0,2,0,108
330110002041,713,306,264,143,0,0,452,66,17,25,73,80,452,65,35,3,17,5,1,17,5,1,2,0,80
330110002042,512,198,138,176,0,0,423,23,5,7,12,42,423,22,5,4,2,1,1,5,2,1,0,0,42
330110002043,1810,758,576,476,0,0,1423,85,4,48,51,199,1423,84,18,22,20,13,1,4,2,3,1,0,199
330110003001,282,108,118,56,0,0,230,28,3,5,6,10,230,28,1,3,1,3,0,3,1,0,1,0,10
