BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_34,eth2_93,eth2_23,eth2_21,eth2_14,eth2_unk
230010420004,884,244,288,318,34,0,0,0,789,23,0,2,7,63,789,23,6,1,1,0,0,0,1,63
230010430001,1177,323,354,444,56,0,0,0,1061,21,0,2,23,70,1061,21,8,0,3,0,1,0,0,70
230010430002,633,229,176,195,33,0,0,0,567,18,0,1,2,45,567,18,0,1,0,0,0,0,0,45
230010440001,356,92,130,114,20,0,0,0,334,7,0,0,1,14,334,7,0,0,1,0,0,0,0,14
230010440002,1527,484,535,421,87,0,0,0,1368,37,2,6,19,95,1368,37,8,2,1,2,2,0,0,95
230010450001,1797,470,642,583,102,0,0,0,1627,30,2,7,4,127,1627,30,3,1,1,2,2,3,1,127
230010460001,1221,336,399,424,62,0,0,0,1129,8,2,4,11,67,1129,8,4,2,3,2,0,2,0,67
230010460002,589,143,216,196,34,0,0,0,531,8,0,3,3,44,531,8,0,1,1,0,0,0,1,44
230010460003,622,151,208,215,48,0,0,0,580,6,0,4,5,27,580,6,3,1,1,0,1,1,1,27
230010460004,817,192,299,279,47,0,0,0,765,5,0,0,4,43,765,5,0,0,1,0,0,0,0,43
230010465001,1851,513,652,594,92,0,0,0,1714,13,0,4,16,104,1714,13,4,2,7,0,0,2,0,104
230010465002,1071,209,386,408,68,0,0,0,985,14,1,4,9,58,985,13,4,3,3,1,0,0,0,58
230010465003,373,113,130,113,17,0,0,0,341,11,0,0,4,17,341,11,0,0,2,0,0,0,0,17
230010465004,743,227,266,215,35,0,0,0,662,15,0,4,3,59,662,15,1,1,2,0,0,0,1,59
230010465005,806,185,292,286,43,0,0,0,722,11,0,3,3,67,722,10,0,2,0,0,1,0,0,67
