GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
08101980100,4,1,0,3,0,0,0,0,4,0,0,0,0,0
08067940300,3716,1502,786,1363,31,7,9,0,2631,662,9,24,49,341
08067940400,4444,1749,970,1641,42,14,4,0,3536,359,4,32,60,453
08067970601,2685,1018,630,982,31,9,4,0,2208,155,0,12,24,286
08067970602,4583,1964,871,1647,66,11,7,0,3728,319,0,34,51,451
08067970701,3641,1600,1138,844,35,13,3,0,3012,139,3,38,53,396
08067970703,4846,2074,1478,1206,50,15,9,0,3892,337,6,47,60,504
08067970705,2168,929,621,582,23,6,3,0,1757,136,6,15,26,228
08067970706,1059,460,292,284,12,6,0,0,874,20,0,11,15,139
08067970800,4239,1861,1559,728,50,23,7,0,3346,268,5,54,70,496
08067970900,3111,1421,1231,386,37,23,5,0,2483,202,3,41,37,345
08067971000,2365,994,1018,305,35,5,1,0,1919,139,2,26,37,242
08067971100,3332,1508,1362,381,41,21,10,0,2514,302,11,31,65,409
08027970101,1941,647,252,1016,19,3,1,0,1611,62,5,20,19,224
08027970102,2078,747,281,1012,19,10,2,0,1788,73,3,16,17,181
08069000100,2113,946,894,226,26,13,0,0,1630,139,2,37,38,267
08069000201,1684,766,715,164,22,12,3,0,1326,93,10,21,33,201
08069000202,1929,858,900,137,20,6,1,0,1512,170,4,21,23,199
08069000300,2203,961,841,359,24,14,1,0,1771,117,0,19,29,267
08069000401,1329,617,555,135,12,4,2,0,1035,115,4,18,17,140
08069000402,1887,828,800,210,30,11,3,0,1425,175,6,19,29,233
08069000503,2481,1231,866,312,52,10,2,0,1878,216,18,45,38,286
08069000504,1694,789,634,219,31,10,3,0,1315,125,3,31,31,189
08069000505,1922,897,697,269,43,6,7,0,1426,212,5,31,32,216
08069000506,1938,892,681,309,32,10,4,0,1511,177,5,29,35,181
08069000600,1139,535,412,151,29,7,4,0,800,116,9,46,29,139
08069000700,1933,837,874,182,28,9,1,0,1515,104,2,34,27,251
08069000801,1143,445,503,171,14,7,2,0,922,49,0,23,19,130
08069000802,854,408,290,144,9,1,1,0,689,66,0,6,11,82
08069000901,3868,1690,1563,544,44,15,7,0,2969,252,22,61,56,508
08069000902,2472,1117,921,382,33,8,2,0,1948,156,5,47,41,275
08069001003,3518,1638,1197,608,46,9,4,0,2659,320,9,63,44,423
08069001004,2724,1167,951,567,25,8,4,0,2193,121,4,57,47,302
08069001007,2543,1181,835,474,33,7,4,0,1944,184,14,41,41,319
08069001008,1692,770,530,359,21,6,1,0,1297,107,10,47,26,205
08069001009,4485,1933,1284,1194,51,8,3,0,3556,253,4,88,72,512
08069001010,2390,950,673,749,13,2,2,0,1953,99,2,51,32,253
08069001104,3954,1895,1340,633,65,14,3,0,3114,302,19,64,66,389
08069001106,3710,1690,1266,676,48,9,7,0,2926,296,12,56,65,355
08069001107,4058,1932,1302,729,49,28,8,0,3153,321,16,73,69,426
08069001109,3516,1639,1112,680,51,11,8,0,2756,253,11,65,51,380
08069001110,3292,1555,1202,462,45,14,9,0,2545,242,11,77,46,371
08069001111,1317,559,554,183,14,7,0,0,1031,85,5,36,18,142
08069001112,3048,1374,1021,588,40,11,5,0,2355,287,5,49,53,299
08069001113,2735,1263,786,657,24,2,1,0,2203,150,0,43,42,297
08069001114,2122,854,656,593,17,1,0,0,1700,56,2,57,47,260
08069001301,2900,1224,765,851,37,13,5,0,2340,159,5,22,30,344
08069001304,1161,475,439,219,8,5,4,0,710,345,1,7,4,94
08069001305,2013,1002,637,315,28,16,8,0,1467,273,7,24,28,214
08069001306,2565,1241,870,385,46,6,7,0,1769,433,7,53,28,275
08069001307,3665,1579,1129,897,36,11,5,0,2843,288,11,50,58,415
08069001308,4421,1938,1285,1110,61,15,4,0,3490,284,3,77,61,506
08069001601,1217,548,368,261,20,8,3,0,875,187,0,21,10,124
08069001602,4055,1839,1268,879,51,9,1,0,3116,278,1,136,83,441
08069001603,3594,1573,1045,915,36,13,6,0,2715,361,18,76,47,377
08069001605,4061,1893,1197,893,56,9,5,0,3053,297,44,162,81,424
08069001606,2293,1046,599,609,26,4,2,0,1758,155,2,77,47,254
08069001607,2752,1304,736,666,33,6,1,0,2118,172,8,60,60,334
08069001608,5088,2339,1280,1416,36,2,1,0,3889,305,12,307,75,500
08069001706,4522,1965,1041,1456,36,6,9,0,3548,405,3,47,43,476
08069001707,3651,1628,794,1158,35,10,7,0,2765,407,8,34,39,398
08069001708,2828,1261,768,748,35,7,7,0,2150,250,11,91,47,279
08069001710,4289,1940,1007,1242,52,15,13,0,3271,475,5,41,37,460
08069001711,2482,1107,645,668,36,9,9,0,1938,228,2,33,16,265
08069001712,3315,1378,605,1287,30,5,2,0,2738,140,1,43,32,361
08069001713,3619,1450,598,1495,56,3,6,0,2795,327,6,55,43,393
08069001714,5367,2132,837,2346,35,5,2,0,4326,242,8,101,67,623
08069001715,3396,1496,805,1043,35,3,5,0,2671,232,4,41,34,414
08069001804,2779,1256,636,816,46,7,6,0,2175,241,4,32,31,296
08069001807,4462,1970,933,1471,52,8,4,0,3617,349,2,46,37,411
08069001808,4302,1774,927,1534,49,10,0,0,3560,198,2,45,35,462
08069001810,3976,1736,888,1278,47,6,9,0,3151,303,16,37,55,414
08069001811,1928,802,416,683,15,4,3,0,1560,113,0,22,17,216
08069001812,5177,2102,1381,1619,55,10,4,0,4220,264,6,63,62,562
08069001813,3937,1766,1047,1064,38,5,8,0,3061,273,3,84,74,442
08069001901,2801,1226,676,845,26,9,1,0,2222,218,1,28,26,306
08069001902,3289,1405,743,1081,33,9,5,0,2620,249,1,37,40,342
08069001904,1623,715,384,492,23,4,1,0,1368,44,2,21,18,170
08069001905,1589,704,458,396,26,4,0,0,1290,51,0,18,33,197
08069002005,3633,1685,814,1047,60,9,8,0,2838,348,4,39,39,365
08069002007,2441,1116,678,584,41,7,6,0,1950,170,2,27,31,261
08069002008,2674,1194,568,857,41,3,1,0,2164,202,4,27,27,250
08069002010,2235,915,408,882,21,2,2,0,1863,72,2,25,23,250
08069002011,4350,1892,850,1553,34,8,7,0,3591,250,3,54,46,406
08069002300,2824,1253,946,573,39,9,1,0,2298,110,1,46,66,303
08069002401,1092,441,211,419,15,2,1,0,909,34,2,5,16,126
08069002403,1386,574,340,439,22,4,0,0,1129,52,4,5,17,179
08069002404,1213,512,273,399,24,0,0,0,1019,30,0,23,11,130
08069002503,2263,926,375,919,31,3,1,0,1911,94,0,20,21,217
08069002504,1623,642,363,593,16,1,3,0,1248,191,0,18,15,151
08069002505,5831,2490,1090,2171,60,8,5,0,4679,274,7,158,121,592
08069002506,3265,1278,628,1306,37,6,3,0,2701,121,1,45,45,352
08069002507,3342,1474,641,1164,42,7,2,0,2651,267,3,35,31,355
08069002508,5036,2304,921,1714,65,12,4,0,3871,473,1,47,61,583
08069002601,1951,819,353,744,27,1,0,0,1639,67,2,23,22,198
08069002602,5871,2566,1074,2146,60,8,4,0,4729,360,8,70,66,638
08069002700,5897,2747,1208,1839,67,14,4,0,4742,363,2,53,80,657
08069002801,2421,987,706,687,24,7,4,0,2028,94,2,24,29,244
08069002803,23,11,7,5,0,0,0,0,18,0,0,0,1,4
08069002804,2160,892,664,593,9,2,0,0,1784,70,1,19,24,262
08069002805,2287,943,671,635,22,8,3,0,1925,74,1,23,14,250
08105976700,3238,1138,1114,925,21,7,11,0,1558,1433,0,23,16,208
08105976800,1160,446,369,327,4,5,3,0,623,455,2,6,10,64
08105977001,1605,571,289,718,14,6,1,0,1266,158,4,15,13,149
08105977002,1535,447,285,787,7,2,2,0,1092,316,0,10,9,108
