GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40109106608,1815,748,717,334,16,0,0,1471,64,43,34,45,158
40109106609,695,276,268,142,9,0,0,567,47,5,17,12,47
40109106610,723,279,309,128,7,0,0,524,41,59,15,27,57
40109106611,1009,224,549,226,10,0,0,631,62,201,22,31,62
40109106702,1541,665,518,341,17,0,0,1145,192,58,33,16,97
40109106704,1210,693,320,192,5,0,0,988,71,12,17,19,103
40109106705,1327,574,479,257,17,0,0,1007,98,53,59,22,88
40109106706,1831,752,698,366,15,0,0,1393,100,168,23,31,116
40109106708,1943,1114,525,293,11,0,0,1468,80,52,134,43,166
40109106709,818,209,427,175,7,0,0,381,67,293,20,20,37
40109106710,1646,547,720,362,17,0,0,1086,104,260,55,35,106
40109106801,652,352,145,142,13,0,0,544,66,5,4,2,31
40109106802,861,463,202,188,8,0,0,693,70,6,4,10,78
40109106803,1159,552,361,234,12,0,0,955,111,14,9,7,63
40109106804,1614,585,668,350,11,0,0,1150,214,85,21,31,113
40109106902,1076,488,403,171,14,0,0,826,118,34,5,20,73
40109106903,3229,1716,928,550,35,0,0,2628,275,58,49,31,188
40109106906,1253,539,498,202,14,0,0,862,125,85,62,18,101
40109106907,917,375,373,164,5,0,0,703,82,46,25,8,53
40109106909,992,430,349,206,7,0,0,730,107,63,15,14,63
40109106910,1141,504,385,236,16,0,0,848,119,43,34,8,89
40109106911,876,457,257,158,4,0,0,644,81,20,50,8,73
40109106912,896,266,419,206,5,0,0,538,81,191,32,11,43
40109106913,1180,385,493,290,12,0,0,725,169,185,35,11,55
40109106914,1328,458,545,314,11,0,0,865,179,182,19,16,67
40109106916,659,204,267,176,12,0,0,407,141,50,11,12,38
40109106917,781,205,369,196,11,0,0,416,153,128,39,5,40
40109107001,1267,362,537,356,12,0,0,668,477,26,15,14,67
40109107002,588,171,233,176,8,0,0,355,153,11,15,9,45
40109107101,9,6,2,1,0,0,0,9,0,0,0,0,0
40109107103,524,152,232,135,5,0,0,297,171,8,11,7,30
40109107104,768,234,323,207,4,0,0,463,183,64,22,4,32
40109107206,1560,615,579,349,17,0,0,1090,263,55,51,17,84
40109107207,932,394,333,197,8,0,0,622,123,53,46,13,75
40109107212,2275,805,848,595,27,0,0,1595,296,124,76,38,146
40109107213,1471,479,566,415,11,0,0,924,334,84,15,21,93
40109107214,1154,379,487,283,5,0,0,706,326,20,20,15,67
40109107215,1071,312,472,277,10,0,0,594,382,26,11,6,52
40109107216,755,217,330,203,5,0,0,468,202,28,8,7,42
40109107217,580,191,241,142,6,0,0,324,213,11,7,4,21
40109107218,831,224,403,196,8,0,0,457,271,43,10,13,37
40109107219,830,247,356,220,7,0,0,455,312,9,9,8,37
40109107220,964,258,450,248,8,0,0,492,348,35,18,16,55
40109107221,882,305,408,163,6,0,0,530,245,33,12,6,56
40109107222,531,178,230,115,8,0,0,343,130,25,8,8,17
40109107223,867,256,393,207,11,0,0,517,254,33,5,9,49
40109107224,1453,610,527,307,9,0,0,1081,221,26,25,11,89
40109107225,798,203,374,215,6,0,0,458,252,31,8,6,43
40109107226,976,323,418,228,7,0,0,590,212,79,34,8,53
40109107302,814,225,348,231,10,0,0,510,183,29,29,12,51
40109107303,483,193,166,122,2,0,0,389,42,5,5,7,35
40109107305,379,105,176,95,3,0,0,228,53,77,1,5,15
40109107306,1072,274,531,257,10,0,0,549,138,308,13,10,54
40109107401,2381,516,1305,535,25,0,0,969,180,1070,40,30,92
40109107404,1690,554,830,296,10,0,0,873,95,561,68,13,80
40109107405,2494,966,1018,479,31,0,0,1601,178,426,80,30,179
40109107406,2874,1027,1158,663,26,0,0,1743,229,577,107,44,174
40109107407,278,152,52,74,0,0,0,244,10,2,4,0,18
40109107601,917,348,309,245,15,0,0,681,41,120,17,7,51
40109107604,847,327,286,220,14,0,0,700,49,23,13,8,54
40109107605,925,339,349,226,11,0,0,735,55,49,12,17,57
40109107608,1949,880,704,338,27,0,0,1485,101,214,15,29,105
40109107703,2106,1005,745,337,19,0,0,1717,92,144,26,11,116
40109107704,740,310,271,153,6,0,0,586,39,49,13,8,45
40109107705,931,373,337,207,14,0,0,751,36,53,16,12,63
40109107706,1269,455,525,268,21,0,0,994,67,95,19,16,78
