FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
23011017000,3387,860,1031,1350,146,0,0,0,3096,41,2,7,13,228
23011018000,3245,954,1026,1114,148,1,2,0,2929,41,2,20,23,230
23011019000,1825,427,574,717,107,0,0,0,1657,31,1,4,10,122
23011020000,3716,1178,1287,1150,100,0,1,0,3179,78,7,60,28,364
23011020500,1464,337,471,601,54,1,0,0,1350,17,0,2,2,93
23011021000,2305,566,851,785,103,0,0,0,2112,36,0,6,15,136
23011022000,1941,486,637,733,85,0,0,0,1726,33,0,8,24,150
23011023001,2906,1046,896,854,110,0,0,0,2593,46,3,12,25,227
23011023002,3148,909,1041,1095,103,0,0,0,2810,46,2,29,32,229
23011024101,2590,1000,902,588,100,0,0,0,2274,61,5,21,29,200
23011024102,3177,1461,1005,577,134,0,0,0,2716,89,7,38,44,283
23011024201,2216,959,627,548,82,0,0,0,1901,52,10,23,40,190
23011024202,4477,2208,1423,661,185,0,0,0,3430,163,21,219,77,567
23011025001,3182,900,1152,1032,98,0,0,0,2870,52,1,13,19,227
23011025002,1398,425,471,478,24,0,0,0,1259,23,0,5,10,101
23031005100,4264,1545,1363,1201,155,0,0,0,3800,58,6,31,51,318
23031005200,3947,1629,1263,907,148,0,0,0,3438,69,4,38,64,334
23031005301,2903,1355,942,483,123,0,0,0,2434,83,10,26,46,304
23031005302,2188,989,666,469,62,1,1,0,1904,34,3,30,28,189
23031005400,2462,1055,678,661,68,0,0,0,2122,45,2,14,33,246
23031006103,2424,1018,758,578,68,0,2,0,2109,32,4,25,44,210
23031006104,2658,1087,812,691,67,0,1,0,2323,51,8,11,27,238
23031006105,833,369,262,181,21,0,0,0,732,10,0,5,12,74
23031006106,1797,730,622,376,69,0,0,0,1571,35,8,5,33,145
23031020001,2794,902,865,910,117,0,0,0,2494,37,6,18,20,219
23031020002,3585,994,1246,1215,128,2,0,0,3242,50,2,23,25,243
23031021000,3481,961,1145,1217,158,0,0,0,3129,45,1,7,22,277
23031022000,2592,670,807,937,177,0,1,0,2347,27,0,6,17,195
23031022500,2453,714,836,786,116,1,0,0,2238,24,2,3,18,168
23031023000,2309,620,917,670,101,0,1,0,2075,31,2,5,18,178
23031023501,2801,756,909,990,146,0,0,0,2562,39,0,5,20,175
23031023502,2563,634,883,894,152,0,0,0,2267,33,0,24,17,222
23031024001,2487,691,868,777,151,0,0,0,2249,30,1,17,16,174
23031024002,2936,823,882,1095,136,0,0,0,2634,47,4,13,12,226
23031024501,3615,1097,1193,1195,129,0,1,0,3302,36,0,15,17,245
23031024502,1630,418,634,530,48,0,0,0,1456,28,2,6,8,130
23031025100,2853,1357,800,620,74,0,2,0,2563,26,1,16,47,200
23031025203,1879,901,590,313,75,0,0,0,1622,50,1,27,18,161
23031025204,1236,600,375,201,60,0,0,0,1039,39,10,26,19,103
23031025205,2096,1040,590,388,78,0,0,0,1829,61,4,28,29,145
23031025206,2811,1355,897,443,116,0,0,0,2431,54,11,23,44,248
23031025300,2399,1196,635,482,86,0,0,0,2184,19,2,19,23,152
23031025400,1609,854,440,266,49,0,0,0,1349,29,4,20,35,172
23031026000,3407,1150,1238,934,84,0,1,0,3035,49,2,15,33,273
23031027000,3024,1261,796,897,70,0,0,0,2680,34,2,17,22,269
23031028001,2843,978,1113,708,44,0,0,0,2509,39,6,28,28,233
23031028003,3592,1507,1225,808,51,1,0,0,3156,67,3,43,41,282
23031028004,3156,1264,1010,845,37,0,0,0,2754,48,2,26,26,300
23031029000,2388,759,853,705,71,0,0,0,2190,31,2,8,15,142
23031030101,1357,452,476,390,39,0,0,0,1227,23,0,15,5,87
23031030102,1134,387,409,294,43,0,1,0,1034,9,2,14,5,70
23031030201,2686,919,1038,639,90,0,0,0,2376,56,1,27,17,209
23031030203,2305,757,802,673,73,0,0,0,2042,44,3,55,12,149
23031030204,1521,507,600,356,58,0,0,0,1335,37,2,15,16,116
23031030205,2824,917,1104,707,96,0,0,0,2509,54,0,50,15,196
23031030300,2405,760,893,683,69,0,0,0,2147,42,0,31,23,162
23031031000,4703,1052,2001,1431,219,0,0,0,4251,58,9,29,46,310
23031032001,3494,1006,1471,959,57,1,0,0,3074,68,3,36,36,277
23031032002,2299,595,1031,638,35,0,0,0,2049,39,5,9,22,175
23031033000,3821,1144,1357,1171,149,0,0,0,3391,48,6,24,35,317
23031034002,5247,1558,2107,1499,81,0,2,0,4686,70,0,18,61,412
23031034003,1454,567,505,359,21,0,2,0,1273,20,4,11,12,134
23031034004,1549,551,579,390,29,0,0,0,1384,19,0,14,20,112
23031034005,1216,457,446,298,14,1,0,0,1099,12,1,7,9,88
23031034006,1191,563,324,267,35,0,2,0,1013,20,0,5,18,135
23031035001,2772,1045,871,760,96,0,0,0,2494,40,1,22,24,191
23031035002,2775,1219,794,677,84,1,0,0,2471,49,2,14,26,213
23031036002,5230,2095,1722,1291,121,0,1,0,4548,93,4,56,36,493
23031036003,2852,1231,860,708,53,0,0,0,2530,38,0,8,24,252
23031036004,3297,1329,1079,821,65,0,3,0,2891,50,0,14,37,305
23031037000,5842,2214,1949,1551,128,0,0,0,5112,84,5,20,66,555
23031038001,4965,2417,1422,1027,99,0,0,0,4335,104,5,22,59,440
23031038002,2659,1109,890,607,51,0,2,0,2352,66,6,16,26,193
23031990100,3,0,3,0,0,0,0,0,3,0,0,0,0,0
23027041000,3047,854,948,1056,188,1,0,0,2734,38,2,14,31,228
23027042000,4806,1391,1707,1524,183,1,0,0,4326,37,2,21,34,386
23027043000,5433,2499,1434,1257,243,0,0,0,4846,70,6,33,37,441
23027044000,3723,1633,1036,879,175,0,0,0,3323,52,1,18,37,292
23027045000,4556,1336,1448,1577,195,0,0,0,4167,48,5,9,23,304
23027046001,1741,498,515,618,110,0,0,0,1554,19,0,9,13,146
23027046002,3924,1060,1404,1178,281,0,1,0,3443,76,1,15,26,363
23027047000,3612,1086,1138,1201,187,0,0,0,3272,35,1,8,26,270
23001010100,880,339,311,173,57,0,0,0,742,23,9,5,29,72
