FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35049001102,2411,1671,256,444,20,11,0,4,0,1494,543,6,46,51,271
35049001103,1219,807,119,275,6,7,0,2,0,576,499,3,32,18,91
35049001105,1665,1165,218,258,14,7,0,2,0,912,569,6,15,17,146
35049001106,2022,1403,263,331,6,5,0,6,0,896,941,1,26,31,127
35049001107,3460,2442,393,577,14,23,0,2,0,1606,1516,4,33,47,254
35049001202,2456,1553,322,526,27,12,0,10,0,892,1368,2,21,31,142
35049001203,1105,738,135,209,9,5,0,3,0,444,567,0,4,13,77
35049001205,1632,1009,194,401,9,6,0,7,0,366,1165,1,10,14,76
35049001206,1515,943,200,348,13,5,0,1,0,422,973,9,20,12,79
35049001207,1282,835,177,248,12,6,0,2,0,355,847,2,7,11,60
35049001301,858,557,134,154,4,2,0,1,0,382,386,0,9,20,61
35049001302,956,556,111,272,7,6,0,1,0,264,612,1,14,6,59
35049001304,436,257,71,99,2,4,0,1,0,89,325,0,1,4,17
35049001305,2752,1760,376,564,29,10,0,8,0,1094,1346,5,83,54,170
35049001306,930,570,98,250,4,4,0,3,0,288,554,3,13,14,58
35049010102,3545,2548,485,460,18,13,0,16,0,672,2646,2,89,37,99
35049010204,1819,1181,289,337,2,3,0,0,0,1268,212,2,42,53,242
35049010205,715,492,75,138,4,4,0,1,0,448,179,1,6,21,60
35049010304,3020,1934,476,573,16,10,0,4,0,1624,1016,4,29,36,311
35049010308,1146,714,159,246,9,8,0,3,0,459,620,0,9,5,53
35049010309,1468,967,154,317,17,10,0,3,0,1061,184,8,13,25,177
35049010310,811,256,405,134,9,3,0,1,0,589,152,0,9,5,56
35049010311,3135,825,1542,683,57,6,1,5,0,2352,478,10,29,34,232
35049010312,3135,852,1509,689,43,15,0,7,0,2192,647,6,21,28,241
35049010315,1968,1373,267,302,13,4,0,4,0,1112,622,3,35,38,158
35049010316,1369,958,210,186,10,1,0,1,0,789,440,10,14,21,95
35049010317,704,421,136,137,5,4,0,0,0,399,220,2,17,13,53
35049010318,1118,707,189,206,9,2,0,3,0,521,470,5,26,15,81
35049010400,2471,1757,258,436,8,10,0,0,0,1771,283,1,36,55,325
35049010500,1446,1039,134,248,9,12,0,2,0,998,265,2,17,13,151
35049010601,3790,2385,605,739,29,6,0,13,0,2069,1236,9,92,73,311
35049010602,2700,1910,314,438,16,18,0,1,0,2049,259,3,35,52,302
35049010603,1668,1016,303,317,18,7,0,3,0,946,522,0,18,21,161
35049010701,3213,2167,433,562,24,15,0,3,0,2403,339,2,45,51,373
35049010702,1340,882,160,275,6,6,0,7,0,947,199,4,18,16,156
35049010800,2137,1342,344,407,25,10,0,7,0,1274,613,8,33,27,182
35049010900,2089,1217,437,407,17,3,0,3,0,1113,750,0,21,27,178
35049940300,849,566,127,144,4,4,0,1,0,212,583,0,5,8,41
35049940400,1379,952,149,254,11,6,0,2,0,581,630,12,11,8,137
35049940500,918,630,138,141,7,2,0,0,0,293,561,0,8,7,49
35049940600,1875,1220,298,326,8,9,0,10,0,585,1146,1,10,18,115
35049940900,4421,3146,536,669,24,16,0,23,0,720,3413,6,54,43,185
35049980000,20,6,10,4,0,0,0,0,0,5,15,0,0,0,0
35049980200,14,9,0,5,0,0,0,0,0,10,1,0,0,0,3
35006941500,1150,820,85,228,4,2,2,6,0,373,438,3,13,97,226
35006945800,109,59,24,23,0,2,1,0,0,87,5,1,1,3,12
35006946100,1356,889,145,304,4,2,3,1,0,553,375,1,19,165,243
35006974201,2326,1182,610,488,12,4,0,13,0,987,1087,5,36,30,181
35006974202,1947,1046,541,316,11,6,0,15,0,836,942,1,7,28,133
35006974401,630,339,169,110,7,1,0,1,0,236,343,5,2,3,41
35006974402,1085,615,282,167,7,2,0,5,0,489,504,4,4,12,72
35006974701,2242,911,917,368,23,6,1,10,0,1323,751,0,7,26,135
35006974702,696,469,156,63,3,1,0,2,0,175,463,1,7,8,42
35041000100,2378,653,1133,535,32,4,0,12,0,1558,639,22,30,20,109
35041000200,1479,587,488,368,18,6,0,8,0,512,893,5,7,4,58
35041000300,2181,548,1036,528,36,6,0,15,0,1459,536,7,14,17,148
35041000401,1524,273,977,253,11,1,0,4,0,1059,360,0,2,4,99
35041000402,2072,345,1406,279,22,0,0,17,0,1554,372,0,10,6,130
35055940000,1502,1095,197,193,2,7,0,8,0,250,1174,2,11,6,59
35055940101,2537,1822,252,421,14,18,0,5,0,1265,941,1,24,42,264
35055940102,2907,2081,316,452,15,21,0,8,0,1577,1036,3,18,30,243
35055952101,2089,1524,249,275,16,21,0,1,0,1156,719,4,29,21,160
35055952102,2520,1458,625,390,25,13,0,6,0,1188,1157,0,18,23,134
35055952300,1879,1247,242,345,14,24,1,4,0,965,746,3,11,13,141
35055952601,3515,2480,412,560,29,25,0,4,0,1547,1581,5,45,54,283
35055952602,2392,1711,304,340,14,14,0,3,0,1007,1166,0,23,24,172
35055952701,1820,1296,219,285,6,3,0,3,0,946,674,3,24,22,151
35055952702,2697,1890,397,367,17,16,0,7,0,900,1621,2,22,16,136
35037958601,1628,650,666,293,14,0,0,2,0,857,624,13,25,12,97
35037958602,1542,710,484,324,10,3,0,6,0,667,773,8,11,5,78
35037958900,2098,504,1329,247,10,0,0,6,0,1607,312,2,10,15,152
35023970000,1255,419,670,147,11,0,1,3,0,901,281,1,5,5,62
35023970200,1551,1138,223,173,8,0,0,4,0,415,1076,2,8,5,45
35009000100,1484,724,272,460,9,0,0,12,0,414,876,125,8,11,50
35009000201,2025,594,920,481,17,3,0,7,0,1256,607,40,14,11,97
35009000202,1682,691,516,433,17,4,0,15,0,715,825,61,4,7,70
35009000303,2126,401,1288,397,26,2,0,4,0,1522,413,15,26,19,131
35009000305,1876,462,947,420,23,3,0,14,0,1213,468,36,13,16,130
