FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25005653301,4177,2326,1306,490,15,4,2,27,0,2838,663,5,52,59,560
25005653304,2599,1572,705,283,7,4,0,24,0,1850,383,1,19,18,328
25005654100,5268,3689,1096,456,10,1,1,12,0,2988,1317,3,21,49,890
25005654200,2365,1605,559,187,5,2,0,5,0,1476,496,2,18,16,357
25005655100,3013,1945,744,283,13,0,3,21,0,1881,622,7,25,27,451
25005655200,3123,1968,844,264,9,4,2,26,0,2070,577,17,27,24,408
25005655300,2349,1440,667,211,11,0,3,15,0,1584,400,8,15,28,314
25005655400,3048,1917,750,329,13,10,3,25,0,2168,451,2,33,30,364
25005985500,1286,743,409,111,9,2,0,11,0,638,320,43,29,14,242
25005985600,2706,1559,695,413,12,1,2,20,0,2097,145,16,51,73,324
25005990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25009201100,2783,1658,873,224,13,1,0,11,0,2327,104,4,34,47,267
25009202101,1687,948,620,109,4,0,1,5,0,1249,88,0,30,83,237
25009202103,1268,758,384,115,2,1,0,5,0,907,113,4,27,75,142
25009202104,3369,2038,1015,288,8,2,2,12,0,2263,213,15,68,315,495
25009202200,4736,2810,1436,459,14,2,0,12,0,3456,136,5,93,265,781
25009203100,5432,3225,1515,628,19,3,3,35,0,3965,157,7,57,282,964
25009203200,3535,2086,931,473,9,3,3,28,0,2882,99,0,41,94,419
25009203301,3158,1883,850,382,16,2,3,19,0,2643,70,9,36,68,332
25009203302,3418,2004,982,385,16,0,3,25,0,2772,94,7,40,82,423
25009204101,2769,1538,1050,143,10,7,1,15,0,2015,338,12,48,76,280
25009204102,3132,1828,999,257,15,3,6,23,0,2186,334,20,32,169,391
25009204200,4192,2293,1618,209,23,6,2,35,0,2837,693,60,67,84,451
25009204300,2226,1073,1015,103,9,4,3,12,0,1140,794,30,30,47,185
25009204400,2669,1446,1011,163,13,5,2,23,0,2145,163,9,31,39,282
25009204500,2446,1302,957,153,11,4,0,16,0,1877,226,18,33,47,245
25009204600,3739,2111,1352,231,17,5,4,14,0,2785,409,11,64,81,389
25009204701,4336,2455,1503,314,22,3,4,30,0,2691,840,78,74,179,474
25009204702,4074,2293,1421,299,32,3,3,21,0,2756,585,59,118,102,454
25009205100,3943,2188,1452,263,8,1,2,23,0,2451,751,105,142,118,376
25009205200,3282,1741,1307,201,9,2,2,18,0,1677,927,130,161,71,316
25009205300,3349,1896,1123,286,14,2,1,23,0,2466,385,67,67,45,319
25009205400,3795,2260,1192,310,8,2,2,19,0,2969,284,32,89,75,346
25009205500,2428,1214,1057,126,17,2,1,10,0,1022,894,138,123,52,199
25009205600,2641,1347,1143,135,6,2,1,6,0,1383,663,194,97,74,230
25009205700,2982,1683,1097,172,12,0,1,12,0,1743,648,114,178,79,220
25009205800,1525,780,627,91,5,1,1,20,0,557,528,87,138,45,170
25009205900,2248,1193,882,142,8,2,1,19,0,1102,609,124,150,63,200
25009206000,1337,663,602,60,5,0,0,7,0,388,578,133,78,48,112
25009206100,1456,688,668,84,6,3,0,6,0,434,615,153,90,33,131
25009206200,1998,987,890,104,4,1,1,11,0,573,908,149,171,50,147
25009206300,1971,998,830,106,15,1,3,17,0,639,814,190,130,36,162
25009206400,3076,1645,1220,171,14,2,3,20,0,1489,931,177,138,90,251
25009206500,1563,802,665,78,6,2,2,7,0,530,652,138,82,37,124
25009206600,2822,1440,1163,181,9,5,3,19,0,1504,699,132,117,113,257
25009206700,2485,1196,1089,163,17,3,0,14,0,1132,709,135,83,168,258
25009206800,1880,895,860,101,12,2,1,7,0,622,801,145,94,75,143
25009206900,2404,1174,1061,143,8,2,1,13,0,835,718,247,71,269,264
25009207000,1262,555,617,79,3,3,0,5,0,467,468,117,60,59,91
25009207100,1363,707,567,74,6,2,0,5,0,311,554,78,233,44,143
