FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
48373210103,1031,248,582,201,0,0,808,128,12,9,5,69
48373210104,1542,332,851,359,0,0,1359,63,8,6,5,101
48373210105,3655,779,1901,975,0,0,3019,296,41,20,20,259
48373210106,13673,1984,4686,7003,0,0,11613,440,102,100,86,1332
48373210203,1529,402,656,471,0,0,1174,158,93,10,11,83
48373210204,2301,684,1128,489,0,0,1726,225,171,14,15,150
48373210205,1747,329,1043,375,0,0,1467,101,17,9,9,144
48373210206,2690,498,1572,620,0,0,2291,119,29,21,20,210
48373210301,2637,398,1429,810,0,0,2273,117,27,19,16,185
48373210302,2760,968,1286,506,0,0,1839,186,539,16,16,164
48373210401,1777,742,746,289,0,0,1120,328,222,11,4,92
48373210402,1054,461,432,161,0,0,627,153,190,4,7,73
48373210500,2896,856,1477,563,0,0,2166,259,177,18,10,266
48441010100,3270,746,1478,1046,0,0,2542,365,63,46,20,234
48441010200,880,290,244,346,0,0,546,248,22,10,8,46
48441010300,833,328,265,240,0,0,483,243,60,8,4,35
48441010400,998,576,206,216,0,0,328,632,8,7,1,22
48441010500,1630,649,670,311,0,0,990,489,58,4,7,82
48441010600,2247,762,1145,340,0,0,1545,537,46,9,7,103
48441010700,1478,869,306,303,0,0,560,840,29,3,3,43
48441010800,694,377,173,144,0,0,338,274,42,7,5,28
48441010900,2894,987,1238,669,0,0,2016,388,282,37,15,156
48441011000,534,215,168,151,0,0,302,154,41,3,2,32
48441011200,1181,503,380,298,0,0,647,430,26,8,8,62
48441011300,2005,844,765,396,0,0,1191,540,171,16,9,78
48441011400,2514,775,1223,516,0,0,1749,510,55,24,19,157
48441011500,1713,495,873,345,0,0,1247,320,11,24,19,92
48441011600,1497,465,725,307,0,0,1157,251,7,7,11,64
48441011700,1052,408,330,314,0,0,636,342,16,6,2,50
48441011900,958,438,240,280,0,0,482,410,14,4,5,43
48441012000,1668,271,1261,136,0,0,1424,106,6,16,17,99
