FULLCODE,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
34029717502,5110,1364,1921,1764,14,11,6,0,3608,374,67,57,127,877
34029718000,6030,1080,2603,2250,28,11,10,0,4802,318,16,45,125,724
34029720001,3536,773,1289,1451,7,3,2,0,2915,163,9,21,74,354
34029720102,2987,858,893,1215,6,5,1,0,2394,152,12,21,66,342
34029720104,2671,837,804,1011,2,0,3,0,2169,158,4,21,58,261
34029720105,2350,633,976,696,12,7,5,0,1683,255,108,17,50,237
34029720106,2088,546,738,779,6,2,3,0,1670,123,8,8,30,249
34029720107,2084,617,634,818,4,1,1,0,1717,113,4,12,53,185
34029720202,3143,1070,985,1061,7,5,3,0,2263,260,160,34,66,360
34029720203,3521,1035,1320,1123,7,6,3,0,2658,286,41,22,111,403
34029720204,4197,1081,1885,1137,21,10,13,0,3027,492,98,48,107,425
34029720205,3575,1016,1149,1387,4,5,2,0,2829,208,25,54,60,399
34029720206,5300,1442,1736,2083,12,3,4,0,4128,323,52,51,122,624
34029721000,1640,363,770,469,11,5,1,0,1193,169,58,7,44,169
34029722001,3633,929,1338,1328,14,2,5,0,2617,286,72,65,108,485
34029722003,3523,850,1562,1052,18,7,8,0,2181,485,91,98,138,530
34029722004,2844,694,1112,1004,9,5,1,0,1973,268,6,54,120,423
34029722100,4980,1098,1724,2120,12,9,2,0,3424,307,32,186,197,834
34029722200,2252,582,814,831,4,3,1,0,1796,163,1,8,42,242
34029722300,3061,583,1291,1152,7,7,3,0,2256,184,4,97,83,437
34029722401,3988,846,1578,1500,23,8,5,0,3108,344,11,36,84,405
34029722402,3264,682,1223,1306,15,5,8,0,2556,229,7,29,99,344
34029722500,1304,280,473,540,5,1,0,0,1115,33,1,6,21,128
34029722600,2397,504,968,889,6,9,4,0,1868,150,8,39,44,288
34029722701,3692,822,1558,1278,9,5,2,0,2857,259,6,68,98,404
34029722702,3307,707,1356,1200,18,3,3,0,2609,252,4,17,68,357
34029722800,2663,678,1102,815,24,8,3,0,1776,392,28,65,103,299
34029722900,3575,957,1550,1014,10,5,4,0,2467,424,117,61,122,384
34029723000,3984,1005,1806,1091,12,12,10,0,2863,461,53,71,130,406
34029723100,2733,692,1099,892,14,5,10,0,2104,208,10,37,58,316
34029723200,4948,1064,2144,1664,20,13,10,0,3759,420,18,88,149,514
34029723300,4536,1045,2032,1354,25,19,8,0,3337,512,16,75,115,481
34029723400,2487,452,961,1042,5,7,4,0,1980,176,1,10,56,264
34029723500,2017,453,893,629,8,9,5,0,1540,176,2,16,55,228
34029723600,2009,510,762,706,4,7,4,0,1594,116,6,21,40,232
34029724000,2342,742,1074,468,10,10,5,0,1408,440,264,13,37,180
34029725001,2128,449,962,674,12,3,4,0,1670,186,6,17,62,187
34029725002,4172,936,1820,1329,27,12,10,0,3310,298,12,40,75,437
34029725100,1463,384,625,423,7,4,5,0,1125,125,16,15,23,159
34029726000,1443,387,555,486,5,4,0,0,1216,34,0,3,34,156
34029727001,1812,341,554,904,3,2,2,0,1528,61,3,4,37,179
34029727002,1204,270,403,523,3,0,1,0,966,60,4,6,25,143
34029728001,957,209,343,400,1,1,0,0,817,34,0,3,21,82
34029728002,1000,207,371,409,2,2,1,0,842,32,5,6,15,100
34029728003,949,204,372,334,7,6,5,0,686,104,24,16,29,90
34029728004,693,151,265,258,6,3,3,0,488,94,12,2,19,78
34029729000,1403,346,509,518,7,7,5,0,1134,70,4,8,20,167
34029730000,1811,483,715,594,4,5,0,0,1485,68,8,10,35,205
34029731001,2627,553,1089,947,7,6,3,0,2021,179,5,26,67,329
34029731002,2831,571,1221,985,10,5,7,0,2252,198,12,12,53,304
34029731101,2259,489,1022,714,4,5,2,0,1708,197,15,30,51,258
34029731102,5046,1193,2152,1616,25,14,16,0,3851,443,33,78,108,533
34029731103,3379,600,1572,1142,21,14,4,0,2696,201,11,31,69,371
34029731201,4189,1204,1275,1671,7,5,7,0,3363,252,10,22,83,459
34029731202,4195,1264,1321,1569,9,8,6,0,3434,232,10,24,91,404
34029731203,1798,485,580,719,3,2,1,0,1452,106,1,7,44,188
34029731204,3518,922,1124,1447,3,1,1,0,2846,214,12,23,81,342
34029731205,3043,976,978,1039,12,8,1,0,2260,236,162,23,48,314
34029731206,2081,597,675,791,4,1,1,0,1672,145,3,13,46,202
34029732001,5121,958,2124,1988,18,9,5,0,4191,235,1,37,101,556
34029732003,3388,698,1467,1172,12,6,5,0,2658,227,4,22,70,407
34029732004,3685,728,1504,1388,17,15,3,0,3085,162,2,20,76,340
34029732101,4704,965,2015,1665,14,15,6,0,3843,258,9,27,86,481
34029732103,2182,384,803,967,4,4,4,0,1788,120,0,11,53,210
34029732104,3077,519,1288,1212,10,10,5,0,2509,173,3,20,64,308
34029733001,4176,786,1677,1635,24,8,7,0,3397,205,4,16,75,479
34029733002,3256,696,1046,1491,11,1,0,0,2718,107,4,37,61,329
34029734002,5917,1369,2508,1953,19,15,12,0,4639,418,42,58,124,636
34029734003,5153,1347,2231,1500,23,10,10,0,3883,505,96,63,103,503
34029734004,3909,1015,1442,1409,7,4,4,0,3071,257,26,34,73,448
34029734005,3878,1100,1190,1569,2,3,1,0,3137,185,14,22,83,437
34029735001,5331,1147,2113,2004,23,13,2,0,4305,335,11,34,116,530
34029735003,1885,438,797,621,5,4,5,0,1489,108,5,17,30,236
34029735004,4885,1065,2007,1736,19,11,10,0,3913,305,17,60,93,497
34029735101,2209,470,780,938,11,1,0,0,1849,78,1,29,35,217
34029735104,3484,780,1323,1338,13,8,6,0,2830,183,5,71,73,322
34029735105,2333,514,850,950,4,4,1,0,1984,100,1,15,46,187
34029735106,1803,401,593,791,4,1,2,0,1498,95,1,7,26,176
34029736001,2928,648,1040,1210,9,3,1,0,2415,118,1,5,58,331
34029736002,1333,215,494,603,5,4,1,0,1131,48,3,1,31,119
34029736101,4335,1062,1748,1457,21,8,5,0,3468,287,17,35,88,440
34029736105,2831,607,989,1186,12,9,6,0,2321,119,1,33,61,296
34029736106,2491,497,1018,943,10,2,4,0,2016,131,4,12,60,268
34029736107,3487,816,1448,1158,14,8,8,0,2896,189,23,20,52,307
