GEOID20,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
28089030403,1226,533,229,463,0,1,0,328,11,844,7,1,35
28089030501,2232,1239,6,987,0,0,0,129,31,2047,4,2,19
28089030502,2906,1700,24,1181,0,1,0,153,31,2673,14,6,29
28089030600,2764,1669,157,938,0,0,0,377,31,2294,9,7,46
28089030900,5083,2103,908,2072,0,0,0,1308,38,3557,21,16,143
28089031000,1807,829,168,810,0,0,0,243,16,1489,8,2,49
28089031100,3771,2202,556,1012,0,1,0,1097,36,2464,21,18,135
28027950100,2573,1196,55,1322,0,0,0,533,21,1928,14,5,72
28027950200,1677,665,240,772,0,0,0,949,43,520,23,14,128
28027950300,2115,1107,195,813,0,0,0,774,24,1219,9,4,85
28027950400,2469,1289,181,999,0,0,0,715,37,1603,22,10,82
28027950500,3566,2349,130,1087,0,0,0,616,53,2778,22,9,88
28027950600,913,560,7,346,0,0,0,73,6,812,11,0,11
28027950700,3325,1948,12,1365,0,0,0,212,41,2986,20,8,58
28015950100,3147,952,1357,838,0,0,0,2099,25,888,22,8,105
28015950201,2684,769,696,1219,0,0,0,788,22,1794,10,8,62
28015950202,140,71,36,33,0,0,0,86,1,46,1,0,6
28049000100,3714,1686,901,1126,0,1,0,2237,62,1162,43,20,190
28049000200,4203,1732,1457,1012,0,2,0,2810,53,1031,28,19,262
28049000301,1363,863,24,476,0,0,0,84,27,1225,9,3,15
28049000302,2910,1742,66,1102,0,0,0,408,43,2334,27,15,83
28049000400,2257,1216,278,763,0,0,0,726,42,1377,17,16,79
28049000500,4592,2338,18,2235,0,1,0,182,32,4308,24,13,33
28049000600,2682,1273,15,1394,0,0,0,141,21,2480,12,3,25
28049000700,4077,2303,77,1696,0,1,0,230,53,3690,17,20,67
