FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
13097080607,3309,2209,555,545,0,0,1068,176,1833,72,72,88
13097080608,2252,1561,385,306,0,0,675,138,1333,19,21,66
13013180103,4963,776,1990,2197,0,0,3587,353,349,209,93,372
13013180104,1561,205,772,584,0,0,1184,146,94,27,14,96
13013180105,1996,238,944,814,0,0,1541,164,88,73,24,106
13013180106,2299,348,1215,736,0,0,1581,244,183,73,41,177
13013180107,2651,347,1427,877,0,0,1931,218,163,163,29,147
13013180108,2073,300,1078,695,0,0,1526,193,136,65,22,131
13013180203,1982,751,903,328,0,0,976,186,673,50,17,80
13013180204,1913,695,781,437,0,0,1017,191,545,51,19,90
13013180205,3090,786,1444,860,0,0,1947,279,576,97,22,169
13013180206,2995,564,1368,1063,0,0,2150,202,323,93,32,195
13013180301,1788,312,779,697,0,0,1324,124,171,35,22,112
13013180302,4523,663,1869,1991,0,0,3460,302,324,127,52,258
13013180303,3713,478,1746,1489,0,0,2791,268,213,143,39,259
13013180401,4782,806,1963,2013,0,0,3640,268,424,132,46,272
13013180402,4871,1258,1982,1631,0,0,3252,317,891,105,29,277
13013180501,4423,1082,2109,1232,0,0,2617,601,744,106,83,272
13013180502,3258,516,1476,1266,0,0,2413,263,266,104,20,192
13013180503,4563,1169,2052,1342,0,0,2779,523,861,115,48,237
13061960300,1948,1268,235,445,0,0,778,11,1089,0,2,68
13057090101,3180,294,1271,1615,0,0,2779,106,35,11,37,212
13057090102,4277,514,1708,2055,0,0,3545,170,184,37,54,287
13057090103,1750,153,778,819,0,0,1504,69,22,10,20,125
13057090201,1941,150,784,1007,0,0,1675,76,30,12,18,130
13057090202,5050,592,1744,2714,0,0,4376,120,56,32,53,413
13057090301,4066,608,1775,1683,0,0,3163,275,158,69,66,335
13057090302,1947,207,691,1049,0,0,1662,101,39,10,13,122
