FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31061964700,1220,877,156,178,9,0,0,1058,31,0,2,13,116
31135959300,1677,1244,221,201,11,0,0,1434,38,0,7,10,188
31117957900,303,259,26,13,5,0,0,265,3,0,1,0,34
31171957100,580,475,54,48,3,0,0,489,9,0,5,1,76
31123952500,2835,1967,403,432,32,1,0,2191,263,1,19,9,352
31101000100,950,570,153,212,15,0,0,766,62,1,11,11,99
31101000200,2275,1525,320,397,33,0,0,1916,107,0,15,6,231
31101000300,2398,1682,294,402,20,0,0,2041,69,1,10,23,254
31169963100,1790,1231,288,261,10,0,0,1541,19,0,3,4,223
31169963200,1679,1083,356,228,12,0,0,1394,25,1,8,11,240
31075956300,483,417,28,36,2,0,0,445,4,0,3,3,28
31095963600,2184,1338,470,361,15,0,0,1842,25,0,6,17,294
31095963700,1748,1000,417,309,21,1,0,1506,39,2,7,15,179
31095963800,576,256,161,149,10,0,0,470,12,1,4,2,87
31067964600,1995,1281,410,284,19,1,0,1561,41,0,7,22,364
31067964700,2492,1477,582,415,18,0,0,2060,19,0,14,5,394
31067964800,2254,1223,533,481,17,0,0,1898,41,1,12,16,286
31067964900,2138,1098,556,464,20,0,0,1746,46,1,6,13,326
31067965000,2111,1053,545,480,33,0,0,1721,54,0,20,19,297
31067965100,1049,472,302,256,18,1,0,887,25,0,4,11,122
31067965200,1539,788,405,331,15,0,0,1303,27,2,3,18,186
31069952100,1291,1001,140,144,6,0,0,1118,26,1,9,8,129
31011960100,2115,1434,437,237,7,0,0,1730,12,2,8,28,335
31011960200,1419,1032,231,153,3,0,0,1161,16,3,7,9,223
31089974000,1029,802,143,78,6,0,0,834,5,0,4,10,176
31089974100,1765,1432,195,132,6,0,0,1457,14,0,3,28,263
31089974200,1360,1032,190,131,7,0,0,1156,17,2,3,12,170
