GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
37051000900,2712,986,947,735,34,3,0,0,1615,180,709,24,59,125
37051001000,1336,888,372,71,5,0,0,0,115,69,1120,5,14,13
37051001100,2712,2000,635,73,4,0,0,0,82,80,2516,5,19,10
37051001200,3596,2241,962,369,19,2,0,0,621,198,2681,18,38,40
37051001401,2200,907,593,688,7,1,0,0,1209,97,751,27,55,61
37051001402,1301,696,387,211,5,0,0,0,335,59,800,5,82,20
37051001500,1693,715,507,455,15,1,0,0,797,98,696,12,47,43
37051001603,2218,940,698,559,18,2,0,0,950,248,873,21,53,73
37051001604,4059,2028,1312,686,24,4,0,0,1262,379,2213,38,86,81
37051001605,2003,703,707,583,8,1,0,0,1089,195,611,13,30,65
37051001606,2113,914,664,521,12,0,0,0,892,182,899,21,49,70
37051001701,1769,770,559,427,9,3,0,0,860,163,641,13,37,55
37051001702,2767,1322,955,462,22,1,0,0,809,336,1444,38,60,80
